nombre_colab,url_colab
Daniela Thumala-Dockendorff,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-5
María Emilia Tijoux Merino,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-16
Sergio Toro,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-97
Lelya Troncoso,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-14
Andrés Troncoso Meléndez,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-31
Mauricio Uribe,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-21
Antonieta Urquieta,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-1
Anahí Urquiza,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-99
Jorge Vergara Estévez,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-27
Paula Vidal Molina,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-22
Flora Vilches,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-101
Carolina Villagra Pincheira,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-116
